Customer_ID,Gender,Age,Profession_Code,Work_Experience,Family_Size,Annual_Median,Occupation_Name,Card_Avg,Check_Avg,Deposit_Avg,Loan_Payment_Avg,Transfer_Avg,Withdrawal_Avg,Card_Count,Check_Count,Deposit_Count,Loan_Payment_Count,Transfer_Count,Withdrawal_Count
1078,Male,47,49-0000,18,3,50080,"Installation, Maintenance, and Repair Occupations",33.43,5107.86,NULL,23913.97,NULL,594.42,1,3,NULL,3,NULL,2
1079,Male,31,43-9061,6,3,38040,"Office Clerks, General",62.15,2469.22,NULL,19943.69,NULL,755.72,1,1,NULL,2,NULL,1
1080,Female,32,51-9190,4,5,36680,"Miscellaneous Production Workers",25.61,3847.75,22943.85,NULL,3026.15,363.99,2,1,1,NULL,3,1
1081,Female,25,41-0000,6,2,35290,"Sales and Related Occupations",66.03,7352.87,64850.93,NULL,2124.48,NULL,1,3,1,NULL,3,NULL
1082,Female,18,53-0000,1,3,37940,"Transportation and Material Moving Occupations",44.99,7325.69,NULL,NULL,2589.54,1042.39,2,1,NULL,NULL,2,1
1083,Female,25,51-9111,6,3,36750,"Packaging and Filling Machine Operators and Tenders",41.28,9921.23,NULL,17216.84,NULL,739.92,2,1,NULL,2,NULL,2
1084,Female,23,45-0000,1,2,33970,"Farming, Fishing, and Forestry Occupations",32.26,5243.45,45958.95,34093.31,2069.72,1018.31,4,3,1,3,2,2
1085,Female,31,31-0000,6,4,33600,"Healthcare Support Occupations",47.48,5904.56,NULL,18023.6,1703.19,692.32,4,2,NULL,1,2,2
1086,Female,24,43-0000,2,3,40910,"Office and Administrative Support Occupations",53.07,4893.53,NULL,NULL,2283.13,NULL,1,1,NULL,NULL,2,NULL
1087,Male,23,41-2030,1,1,30600,"Retail Salespersons",NULL,5510.9,28887.8,19883.7,2748.71,1075.53,NULL,1,2,2,4,1
1088,Female,23,33-0000,1,3,45450,"Protective Service Occupations",51.64,2151.33,NULL,NULL,1953.41,840.06,3,2,NULL,NULL,2,1
1089,Female,40,15-1210,10,5,104230,"Computer and Information Analysts",27.89,8256.73,NULL,13637.9,4048.55,540.18,1,5,NULL,2,3,1
1090,Male,18,43-9060,2,3,38040,"Office Clerks, General",32.12,5477.57,43793.53,25376.65,2068.67,1255.85,1,4,3,1,1,2
1091,Male,19,43-0000,2,1,40910,"Office and Administrative Support Occupations",37.58,4701.63,17832.31,11971.7,2431.87,826.96,4,1,3,2,3,5
1092,Male,37,29-1000,10,2,93710,"Healthcare Diagnosing or Treating Practitioners",NULL,3727.5,31219.62,18607.15,2321.77,NULL,NULL,2,1,5,2,NULL
1093,Female,32,43-0000,5,5,40910,"Office and Administrative Support Occupations",42.21,6011.07,25320.33,NULL,1929.2,NULL,1,1,2,NULL,5,NULL
1094,Male,47,25-1199,18,4,76920,"Postsecondary Teachers, All Other",48.91,7675.03,39123.51,NULL,2466.8,NULL,4,1,1,NULL,1,NULL
1095,Female,18,53-7060,2,1,34880,"Laborers and Material Movers",33.15,6444.32,13325.54,21318.83,1648.51,1250.55,1,1,1,3,4,1
1096,Female,18,39-9000,1,4,31570,"Other Personal Care and Service Workers",71.75,NULL,40909.08,NULL,3765.18,NULL,3,NULL,1,NULL,2,NULL
1097,Male,19,43-9040,3,1,46080,"Insurance Claims and Policy Processing Clerks",91.13,11358.71,30020.96,21951.74,1729.1,1005.88,1,1,3,1,2,3
1098,Male,28,43-3031,3,1,45860,"Bookkeeping, Accounting, and Auditing Clerks",58.38,5550.2,34111.61,20058.87,1673.16,567.71,2,2,2,1,1,3
1099,Male,47,13-1141,19,6,67780,"Compensation, Benefits, and Job Analysis Specialists",46.26,3576.23,38093.31,13279.45,2112.2,NULL,1,4,1,5,2,NULL
1100,Male,25,35-0000,3,2,29640,"Food Preparation and Serving Related Occupations",26.52,6908.13,NULL,NULL,2662.23,581.32,4,1,NULL,NULL,2,1
1101,Male,37,25-1000,11,4,79080,"Postsecondary Teachers",84.39,4709.35,31596.43,25466.47,5123.53,NULL,1,2,2,4,3,NULL
1102,Female,40,29-1000,9,4,93710,"Healthcare Diagnosing or Treating Practitioners",41.76,6438.25,NULL,NULL,2897.07,NULL,2,1,NULL,NULL,4,NULL
1103,Male,33,31-1100,5,4,31450,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",63.75,6132.28,54834.74,18611.05,NULL,672.19,1,2,1,2,NULL,1
1104,Female,24,51-2090,2,3,37280,"Miscellaneous Assemblers and Fabricators",57.77,7136.05,81136.22,25398.1,2276.71,226.88,4,1,2,1,2,1
1105,Female,19,53-0000,1,2,37940,"Transportation and Material Moving Occupations",37.14,NULL,43892.9,13786.08,2718.15,630.26,3,NULL,1,2,1,4
1106,Female,38,25-2030,9,5,62360,"Secondary School Teachers",NULL,NULL,10853.57,19840.25,2380.69,464.2,NULL,NULL,1,1,4,3
1107,Male,50,33-3051,20,4,65790,"Police and Sheriff's Patrol Officers",NULL,NULL,49909.62,NULL,NULL,2276.03,NULL,NULL,1,NULL,NULL,1
1108,Female,37,29-0000,8,4,77760,"Healthcare Practitioners and Technical Occupations",39.94,4379.11,46748.28,25348,2057.8,1144.19,3,1,1,1,2,5
1109,Female,29,31-1100,4,4,31450,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",77.25,4389.26,46390.89,22566.11,3351.63,1223.36,3,1,1,1,1,1
1110,Male,28,37-2020,6,3,38310,"Pest Control Workers",NULL,4536.57,NULL,9712.53,NULL,NULL,NULL,2,NULL,1,NULL,NULL
1111,Male,30,35-2014,7,3,34110,"Cooks, Restaurant",42.57,6276.3,14175.89,17623.96,3159.49,986.9,1,1,2,2,1,6
1112,Female,41,43-1011,8,4,61370,"First-Line Supervisors of Office and Administrative Support Workers",65.36,2679,24920.9,21549.98,NULL,851.81,2,1,1,3,NULL,1
1113,Male,50,21-1010,20,3,51180,Counselors,50.73,1197.45,30253.13,NULL,1476.91,1059.72,2,1,1,NULL,2,2
1114,Male,34,15-0000,2,3,100440,"Computer and Mathematical Occupations",NULL,5702.67,NULL,21708.32,4267.57,2711.51,NULL,2,NULL,3,3,1
1115,Female,49,25-1000,18,4,79080,"Postsecondary Teachers",NULL,5954.56,44999.24,20228.87,NULL,846.48,NULL,3,6,1,NULL,2
1116,Female,22,25-3000,3,1,38510,"Other Teachers and Instructors",NULL,11791.92,39532.95,9268.24,2415.2,584.66,NULL,1,2,1,1,1
1117,Male,24,53-7050,1,1,41230,"Industrial Truck and Tractor Operators",NULL,4364.69,27983.21,8861.27,1914.44,NULL,NULL,1,2,1,1,NULL
1118,Male,34,53-7065,4,4,34220,"Stockers and Order Fillers",22.17,2220.34,NULL,NULL,2310.42,475.23,2,1,NULL,NULL,3,1
1119,Female,20,47-2000,1,3,49330,"Construction Trades Workers",31.09,NULL,36062.06,6273.41,NULL,NULL,1,NULL,3,1,NULL,NULL
1120,Female,46,41-4010,18,6,67750,"Sales Representatives, Wholesale and Manufacturing",NULL,8194.12,NULL,14204.53,2460.11,NULL,NULL,1,NULL,1,3,NULL
1121,Male,40,29-1000,9,4,93710,"Healthcare Diagnosing or Treating Practitioners",25.82,3587.32,56510.98,9943.82,2157.44,NULL,3,1,1,1,5,NULL
1122,Female,34,35-2020,6,3,29790,"Food Preparation Workers",NULL,5945.63,31349.59,23215.1,2080.68,1476.42,NULL,3,2,1,3,1
1123,Male,37,21-1020,8,2,55350,"Social Workers",87.87,6561.85,NULL,7900.92,1893.86,634.89,1,2,NULL,1,1,3
1124,Male,45,17-2112,19,5,96350,"Industrial Engineers",69.93,5932.53,25629.56,NULL,2137.8,1402.48,3,1,1,NULL,2,2
1125,Male,31,29-1140,3,5,81220,"Registered Nurses",NULL,NULL,80373.18,26594.89,1697.5,1084.25,NULL,NULL,3,3,1,2
1126,Male,18,35-3011,1,1,29380,Bartenders,50.38,2333.4,49273.64,29662.7,2419.76,416.02,1,1,4,2,2,1
1127,Female,24,53-7000,2,3,35670,"Material Moving Workers",36.79,7873.97,28406.77,23437.87,3459.53,1023.12,1,2,3,5,4,4
1128,Male,45,29-1140,18,4,81220,"Registered Nurses",43.92,4722.26,15017.1,50478.58,2091.86,1522.65,1,1,2,1,2,1
1129,Male,21,41-9090,2,3,42220,"Miscellaneous Sales and Related Workers",37.06,6457.53,24547.13,26398.87,1517.42,1140.1,1,1,1,3,1,2
1130,Male,41,15-1232,10,3,57890,"Computer User Support Specialists",34.66,5938.65,25481.07,13566.2,2631.06,1312.76,3,3,2,1,1,2
1131,Male,19,41-2011,2,3,28240,Cashiers,NULL,1558.62,39559.83,27678.39,2943.93,673.75,NULL,1,1,4,2,2
1132,Male,41,47-0000,10,5,50570,"Construction and Extraction Occupations",82.19,5852.29,44237.17,17213.89,1761.48,542.58,2,2,1,2,2,1
1133,Female,45,13-2010,21,5,78000,"Accountants and Auditors",38.11,11377.72,47598.6,17957.04,3212.85,748.03,2,2,2,2,1,2
1134,Female,42,29-0000,10,5,77760,"Healthcare Practitioners and Technical Occupations",28.38,4302.84,51984.8,13689.41,1278.62,1973.19,2,1,3,4,1,2
1135,Male,42,11-1020,10,6,98100,"General and Operations Managers",NULL,2617.71,27033.9,27974.55,1920.07,1027,NULL,1,3,2,4,1
1136,Female,25,53-0000,4,3,37940,"Transportation and Material Moving Occupations",36.96,5271.81,7919.7,18545,2552.36,NULL,3,2,1,3,3,NULL
1137,Male,28,31-1100,4,3,31450,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",19.05,3992.59,26714.34,24563.9,2064.4,1052.64,2,1,3,2,3,2
1138,Female,19,43-2011,1,1,34670,"Switchboard Operators, Including Answering Service",40.6,4609.06,NULL,17190.6,NULL,776.67,1,1,NULL,1,NULL,1
1139,Male,30,31-1120,4,6,30180,"Home Health and Personal Care Aides",47.41,5011.37,26487.86,37553.27,3567,450.7,3,1,1,1,1,1
1140,Male,29,35-3000,4,2,28440,"Food and Beverage Serving Workers",34.62,5867.08,31160.47,14649.43,2024.94,656.25,1,2,2,2,2,1
1141,Male,18,39-1000,1,2,45350,"Supervisors of Personal Care and Service Workers",NULL,2908.11,51032.61,NULL,2382.5,1996.64,NULL,1,1,NULL,5,1
1142,Male,26,31-1100,5,2,31450,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",25.62,6117.4,54425.41,30730.8,1499.39,1086.19,2,1,1,1,1,2
1143,Female,24,41-0000,2,2,35290,"Sales and Related Occupations",32.74,7125.59,22391.11,30842.62,NULL,NULL,3,2,2,2,NULL,NULL
1144,Female,26,35-0000,5,2,29640,"Food Preparation and Serving Related Occupations",68.39,3281.32,NULL,27931.06,825.72,510.49,3,2,NULL,2,1,2
1145,Male,23,33-9032,1,3,34750,"Security Guards",63.3,NULL,106879.42,20229.14,2826.71,1286.02,1,NULL,1,5,2,4
1146,Female,43,25-1010,11,4,88790,"Business Teachers, Postsecondary",NULL,3610.39,21084.23,31795.25,NULL,818.69,NULL,1,1,1,NULL,3
1147,Male,37,15-0000,10,3,100440,"Computer and Mathematical Occupations",24.23,4586.2,32481.25,13325.73,2168.52,NULL,2,2,3,1,3,NULL
1148,Male,23,41-0000,1,3,35290,"Sales and Related Occupations",NULL,4808.03,17712.88,25251.95,3226.9,581.38,NULL,1,1,2,3,2
1149,Male,25,43-9060,5,2,38040,"Office Clerks, General",52.59,6462.3,19920.48,NULL,2619.66,792.49,2,1,2,NULL,1,1
1150,Female,18,51-9000,3,2,39960,"Other Production Occupations",NULL,NULL,14733.07,23272.08,8602.38,NULL,NULL,NULL,2,2,1,NULL
1151,Female,40,15-1200,9,3,100530,"Computer Occupations",NULL,3997.71,NULL,25823.6,2106.57,741.41,NULL,2,NULL,2,2,1
1152,Male,18,31-9092,2,3,38270,"Medical Assistants",45.54,3552.34,42043.24,NULL,1162.4,706.36,1,2,3,NULL,1,4
1153,Female,29,31-1131,5,5,35760,"Nursing Assistants",10.74,4177.8,61105.7,22270.24,NULL,1275.61,1,1,1,1,NULL,4
1154,Female,34,43-0000,5,2,40910,"Office and Administrative Support Occupations",23.31,2253.43,NULL,9988.26,NULL,478.79,1,1,NULL,1,NULL,4
1155,Male,42,41-4000,10,5,67750,"Sales Representatives, Wholesale and Manufacturing",53.57,NULL,24830.54,16814.39,2830.48,1229.34,3,NULL,1,3,4,1
1156,Female,45,13-1160,19,3,68230,"Market Research Analysts and Marketing Specialists",83.23,10230.85,60709.64,25041.57,2026.65,554.29,2,2,3,4,4,3
1157,Female,51,13-0000,19,6,76850,"Business and Financial Operations Occupations",41.28,5020.38,52733.7,17996.98,2307.11,2349.61,2,4,1,3,3,2
1158,Male,34,35-2000,4,4,30590,"Cooks and Food Preparation Workers",NULL,7455.27,24726.3,13928.88,1053.76,467.02,NULL,4,2,1,1,3
1159,Female,37,25-3099,9,3,61250,"Teachers and Instructors, All Other",42.46,4396.66,NULL,39634.7,1073.17,1253.55,1,4,NULL,2,1,2
1160,Female,38,11-9000,9,2,99740,"Other Management Occupations",23.3,NULL,10907.89,NULL,2148.96,1593.91,3,NULL,1,NULL,2,2
1161,Female,20,25-9040,2,4,31320,"Teaching Assistants",56.96,3727.83,39509.38,15700.82,NULL,700.37,2,1,2,1,NULL,1
1162,Male,41,15-1200,11,6,100530,"Computer Occupations",40.47,6823.1,81584.52,NULL,NULL,901.7,2,2,2,NULL,NULL,1
1163,Male,18,41-0000,1,3,35290,"Sales and Related Occupations",NULL,4831.82,20281.66,10161.8,2144.75,1402.23,NULL,3,1,1,2,1
1164,Female,19,51-2090,2,2,37280,"Miscellaneous Assemblers and Fabricators",40.01,5564.73,59004.9,21000.79,2938.85,NULL,1,1,1,4,1,NULL
1165,Female,23,53-3032,1,4,49920,"Heavy and Tractor-Trailer Truck Drivers",NULL,NULL,35496.12,33784.05,NULL,563.93,NULL,NULL,1,1,NULL,1
1166,Female,19,43-5071,2,4,37760,"Shipping, Receiving, and Inventory Clerks",26.24,4541.93,NULL,20482.75,4527.05,1067.86,3,3,NULL,1,2,4
1167,Female,40,43-1010,9,5,61370,"First-Line Supervisors of Office and Administrative Support Workers",40.6,6509.71,33123.25,26615.82,3585.55,616.07,2,1,3,1,1,2
1168,Male,25,31-1120,4,2,30180,"Home Health and Personal Care Aides",NULL,6615.3,24150.8,22243.17,2682.91,569.16,NULL,1,2,2,3,3
1169,Male,27,41-0000,5,2,35290,"Sales and Related Occupations",40.43,NULL,18627.93,NULL,2432.55,NULL,5,NULL,1,NULL,2,NULL
1170,Female,37,27-3040,9,3,75080,"Writers and Editors",36.29,3209.15,28759.03,24197.34,NULL,NULL,3,1,1,3,NULL,NULL
1171,Female,24,43-9000,1,3,38290,"Other Office and Administrative Support Workers",NULL,7142.27,NULL,53836.03,2095.84,1489.57,NULL,2,NULL,1,3,1
1172,Female,49,23-1010,21,5,134140,"Lawyers and Judicial Law Clerks",26.94,NULL,19634.51,20645.86,1730.29,NULL,4,NULL,3,4,1,NULL
1173,Male,18,35-0000,1,4,29640,"Food Preparation and Serving Related Occupations",NULL,6166.83,58544.53,22512.35,2062.96,543.68,NULL,1,1,2,2,4
1174,Male,42,41-4012,9,5,63230,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",88.65,9141.38,66518.62,22469.97,NULL,594.89,1,1,2,3,NULL,4
1175,Female,22,35-3000,2,3,28440,"Food and Beverage Serving Workers",39.14,6581.35,50847.33,19737.98,NULL,1043.42,4,2,2,2,NULL,3
1176,Male,45,11-9199,20,4,128620,"Managers, All Other",38.15,4171.19,36414.82,23547.22,1726.45,899.98,1,2,2,1,1,1
